"Date","Description","Debits ($)","Credits ($)","Balance ($)"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL Disk Usage: 31 Gibibyte-days [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($0.05)","($0.05)"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL Disk Usage: 31 Gibibyte-days (Source:TRAC)","$0.13","","$0.08"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL D8 usage - hour: 159 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($30.40)","($30.32)"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL D8 usage - hour: 159 Hours (Source:TRAC)","$77.38","","$47.06"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL IP address idling - hour: 585 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($0.99)","$46.07"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL IP address idling - hour: 585 Hours (Source:TRAC)","$2.58","","$48.65"
"","""Totals for Jan 1, 2015 - Jan 31, 2015""","$80.09","($31.45)","$48.65"

"Dec 1, 2014","Starting Balance","","","$0.00"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL Disk Usage: 31 Gibibyte-days [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($0.10)","($0.10)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL Disk Usage: 31 Gibibyte-days [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00 Credit: PROMOTION ] (Source:TRAC)","","($0.14)","($0.24)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL Disk Usage: 31 Gibibyte-days (Source:TRAC)","$0.24","",""
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL Read and write count: 80609 Counts (Source:TRAC)","$0.01","","$0.01"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL D8 usage - hour: 268 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($55.10)","($55.09)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL D8 usage - hour: 268 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00 Credit: PROMOTION ] (Source:TRAC)","","($100.34)","($155.43)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL D8 usage - hour: 268 Hours (Source:TRAC)","$155.44","","$0.01"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL IP address idling - hour: 476 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($2.35)","($2.34)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL IP address idling - hour: 476 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00 Credit: PROMOTION ] (Source:TRAC)","","($2.41)","($4.75)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL IP address idling - hour: 476 Hours (Source:TRAC)","$4.76","","$0.01"
"","""Totals for Dec 1, 2014 - Dec 31, 2014""","$160.45","($160.44)","$0.01"

"Nov 13, 2014","Starting Balance","","","$0.00"
"","""Totals for Nov 13, 2014 - Nov 30, 2014""","$0.00","$0.00","$0.00"

